Tray,Cube,S3_days,Trial
T33,1,0,C3_3ng
T33,2,0,C3_3ng
T33,3,8,C3_3ng
T33,4,8,C3_3ng
T33,5,0,C3_3ng
T33,6,0,C3_3ng
T33,7,0,C3_3ng
T33,8,8,C3_3ng
T33,9,0,C3_3ng
T33,10,8,C3_3ng
T33,11,0,C3_3ng
T33,12,0,C3_3ng
T33,13,8,C3_3ng
T33,14,0,C3_3ng
T33,15,0,C3_3ng
T33,16,0,C3_3ng
T28,1,0,C3_3ng
T28,2,0,C3_3ng
T28,3,0,C3_3ng
T28,4,0,C3_3ng
T28,5,0,C3_3ng
T28,6,0,C3_3ng
T28,7,8,C3_3ng
T28,8,0,C3_3ng
T28,9,0,C3_3ng
T28,10,0,C3_3ng
T28,11,8,C3_3ng
T28,12,0,C3_3ng
T28,13,10,C3_3ng
T28,14,0,C3_3ng
T28,15,0,C3_3ng
T28,16,0,C3_3ng
T42,1,0,C3_3ng
T42,2,0,C3_3ng
T42,3,0,C3_3ng
T42,4,0,C3_3ng
T42,5,0,C3_3ng
T42,6,0,C3_3ng
T42,7,7,C3_3ng
T42,8,7,C3_3ng
T42,9,0,C3_3ng
T42,10,0,C3_3ng
T42,11,7,C3_3ng
T42,12,7,C3_3ng
T42,13,0,C3_3ng
T42,14,10,C3_3ng
T42,15,0,C3_3ng
T42,16,0,C3_3ng
T31,1,0,C3_3ng
T31,2,0,C3_3ng
T31,3,0,C3_3ng
T31,4,0,C3_3ng
T31,5,0,C3_3ng
T31,6,0,C3_3ng
T31,7,0,C3_3ng
T31,8,0,C3_3ng
T31,9,0,C3_3ng
T31,10,0,C3_3ng
T31,11,13,C3_3ng
T31,12,0,C3_3ng
T31,13,0,C3_3ng
T31,14,13,C3_3ng
T31,15,0,C3_3ng
T31,16,13,C3_3ng
T50,1,9,C3_3ng
T50,2,0,C3_3ng
T50,3,9,C3_3ng
T50,4,0,C3_3ng
T50,5,0,C3_3ng
T50,6,0,C3_3ng
T50,7,0,C3_3ng
T50,8,0,C3_3ng
T50,9,0,C3_3ng
T50,10,0,C3_3ng
T50,11,0,C3_3ng
T50,12,0,C3_3ng
T50,13,0,C3_3ng
T50,14,0,C3_3ng
T50,15,0,C3_3ng
T50,16,0,C3_3ng
T39,1,7,C3_1ng
T39,2,0,C3_1ng
T39,3,0,C3_1ng
T39,4,0,C3_1ng
T39,5,0,C3_1ng
T39,6,0,C3_1ng
T39,7,0,C3_1ng
T39,8,0,C3_1ng
T39,9,0,C3_1ng
T39,10,0,C3_1ng
T39,11,7,C3_1ng
T39,12,7,C3_1ng
T39,13,0,C3_1ng
T39,14,0,C3_1ng
T41,1,0,C3_1ng
T41,2,0,C3_1ng
T41,3,0,C3_1ng
T41,4,7,C3_1ng
T41,5,0,C3_1ng
T41,6,7,C3_1ng
T41,7,0,C3_1ng
T41,8,7,C3_1ng
T41,9,7,C3_1ng
T41,10,0,C3_1ng
T41,11,7,C3_1ng
T41,12,0,C3_1ng
T41,13,0,C3_1ng
T41,14,0,C3_1ng
T41,15,7,C3_1ng
T41,16,0,C3_1ng
T37,1,0,C3_1ng
T37,2,0,C3_1ng
T37,3,7,C3_1ng
T37,4,10,C3_1ng
T37,5,0,C3_1ng
T37,6,0,C3_1ng
T37,7,0,C3_1ng
T37,8,0,C3_1ng
T37,9,0,C3_1ng
T37,10,0,C3_1ng
T37,11,0,C3_1ng
T37,12,0,C3_1ng
T37,13,7,C3_1ng
T37,14,0,C3_1ng
T37,15,0,C3_1ng
T37,16,0,C3_1ng
T5,1,10,C3_1ng
T5,2,8,C3_1ng
T5,3,0,C3_1ng
T5,4,0,C3_1ng
T5,5,0,C3_1ng
T5,6,0,C3_1ng
T5,7,0,C3_1ng
T5,8,0,C3_1ng
T5,9,0,C3_1ng
T5,10,8,C3_1ng
T5,11,0,C3_1ng
T5,12,0,C3_1ng
T5,13,0,C3_1ng
T5,14,0,C3_1ng
T5,15,0,C3_1ng
T5,16,0,C3_1ng
T54,1,0,C3_1ng
T54,2,0,C3_1ng
T54,3,0,C3_1ng
T54,4,8,C3_1ng
T54,5,0,C3_1ng
T54,6,0,C3_1ng
T54,7,8,C3_1ng
T54,8,0,C3_1ng
T54,9,0,C3_1ng
T54,10,8,C3_1ng
T54,11,0,C3_1ng
T54,12,0,C3_1ng
T54,13,0,C3_1ng
T54,14,8,C3_1ng
T54,15,8,C3_1ng
T54,16,0,C3_1ng
T19,1,0,C3_1ng
T19,2,0,C3_1ng
T19,3,0,C3_1ng
T19,4,0,C3_1ng
T19,5,12,C3_1ng
T19,6,0,C3_1ng
T19,7,9,C3_1ng
T19,8,9,C3_1ng
T19,9,0,C3_1ng
T19,10,0,C3_1ng
T19,11,9,C3_1ng
T19,12,0,C3_1ng
T19,13,0,C3_1ng
T19,14,0,C3_1ng
T14,1,0,C3_5ng
T14,2,0,C3_5ng
T14,3,0,C3_5ng
T14,4,0,C3_5ng
T14,5,0,C3_5ng
T14,6,0,C3_5ng
T14,7,0,C3_5ng
T14,8,0,C3_5ng
T14,9,0,C3_5ng
T14,10,0,C3_5ng
T14,11,0,C3_5ng
T14,12,0,C3_5ng
T14,13,0,C3_5ng
T14,14,0,C3_5ng
T14,15,0,C3_5ng
T14,16,0,C3_5ng
T15,1,12,C3_5ng
T15,2,0,C3_5ng
T15,3,0,C3_5ng
T15,4,0,C3_5ng
T15,5,0,C3_5ng
T15,6,0,C3_5ng
T15,7,0,C3_5ng
T15,8,0,C3_5ng
T15,9,0,C3_5ng
T15,10,0,C3_5ng
T15,11,0,C3_5ng
T15,12,12,C3_5ng
T15,13,0,C3_5ng
T15,14,0,C3_5ng
T15,15,0,C3_5ng
T15,16,0,C3_5ng
T51,1,0,C3_5ng
T51,2,0,C3_5ng
T51,3,0,C3_5ng
T51,4,0,C3_5ng
T51,5,0,C3_5ng
T51,6,10,C3_5ng
T51,7,0,C3_5ng
T51,8,0,C3_5ng
T51,9,0,C3_5ng
T51,10,0,C3_5ng
T51,11,7,C3_5ng
T51,12,7,C3_5ng
T51,13,0,C3_5ng
T51,14,0,C3_5ng
T51,15,0,C3_5ng
T51,16,0,C3_5ng
T22,1,0,C3_5ng
T22,2,0,C3_5ng
T22,3,0,C3_5ng
T22,4,0,C3_5ng
T22,5,0,C3_5ng
T22,6,0,C3_5ng
T22,7,0,C3_5ng
T22,8,0,C3_5ng
T22,9,0,C3_5ng
T22,10,0,C3_5ng
T22,11,0,C3_5ng
T22,12,0,C3_5ng
T22,13,0,C3_5ng
T22,14,0,C3_5ng
T22,15,0,C3_5ng
T22,16,0,C3_5ng
T26,1,0,C3_5ng
T26,2,0,C3_5ng
T26,3,0,C3_5ng
T26,4,0,C3_5ng
T26,5,9,C3_5ng
T26,6,0,C3_5ng
T26,7,0,C3_5ng
T26,8,0,C3_5ng
T26,9,0,C3_5ng
T26,10,0,C3_5ng
T26,11,0,C3_5ng
T26,12,9,C3_5ng
T26,13,9,C3_5ng
T26,14,0,C3_5ng
T26,15,0,C3_5ng
T26,16,0,C3_5ng
T34,1,10,C3_3ng
T34,2,0,C3_3ng
T34,3,0,C3_3ng
T34,4,0,C3_3ng
T34,5,0,C3_3ng
T34,6,0,C3_3ng
T34,7,0,C3_3ng
T34,8,0,C3_3ng
T34,9,0,C3_3ng
T34,10,0,C3_3ng
T34,11,10,C3_3ng
T34,12,10,C3_3ng
T34,13,10,C3_3ng
T34,14,10,C3_3ng
T34,15,10,C3_3ng
T34,16,0,C3_3ng